"","x","y","Presence","temp_mean_annual","temp_range","prec_annual","tree_cover","pop_dens","aspect","slope","water_bodies"
"11552",-431500,1020500,0,21.16602,19.54781,1175.77,2,13.46215,105.1645,0.7939274,0.4848
"11553",-1233500,4670500,0,28.05,14.9,547.3285,0,29.81967,123.6901,0.0516457,0.432
"11554",558500,584500,0,20.27788,18.25703,2012.78,99,22.55531,19.11585,2.666214,0.2368
"11555",-559500,4693500,0,26.49961,8.6154,894.243,73,262.3735,249.689,4.693748,0.3216
"11556",-1281500,4303500,0,26.35,10.5,1939.163,0,28.3526,203.1986,0.05454394,1.44
"11557",704500,1308500,0,24.32058,15.9018,1445.484,0,0.3257912,330.8261,1.336766,0.0192
"11558",550500,957500,0,22.27124,16.71644,1793.91,74,0.9382004,158.4047,1.47858,0
"11559",-1299500,2355500,0,23.40466,10.40773,1871.447,99,1.492841,58.33925,1.009607,0
"11560",-1049500,1791500,0,3.699756,17.48525,927.8228,0,3.12937,139.4926,1.422076,0.0064
"11561",1014500,1654500,0,25.01289,15.44368,1428.139,4,0.5304031,16.92751,0.3443668,0.3424
"11562",-149500,382500,0,20.65,22.39114,983.8611,1,1.821457,66.80141,0.05454394,0
"11563",1490500,2927500,0,26.24224,11.3,1371.452,71,4.093204,116.7424,1.034439,0
"11564",-1122500,2316500,0,24.05571,10.5368,1732.025,100,4.829431,156.3706,0.5003012,1.0992
"11565",-50500,1891500,0,25.39673,14.7,1155.851,1,1.262283,138.8141,0.1522653,0.144
"11566",524500,1132500,0,23.33286,16.45976,1455.139,3,132.0601,65.44955,0.6377512,0
"11567",86500,923500,0,23.15,18.8138,1212.974,7,0.509203,161.565,0.02264814,0
"11568",437500,3993500,0,24.71592,10.81686,2224.012,100,0.4994235,205.9158,2.260242,0
"11569",1859500,1301500,0,20.96995,14.77002,1188.901,72,3.267709,344.2958,5.5917,0
"11570",1697500,2462500,0,27.07685,14.37183,803.5022,24,2.982128,105.0864,0.8529637,0.968
"11571",1715500,1453500,0,21.0802,14.059,1353.252,20,3.352294,344.7449,0.1633177,0
"11572",521500,3187500,0,25.81436,10.10783,2087.3,100,4.901864,351.4692,0.2896814,0.04
"11573",-941500,4086500,0,25.48411,8.296021,3342.097,83,0.7559702,336.0375,0.1410742,1.1152
"11574",-1960500,4240500,0,23.96797,5.654283,6553.5,99,20.67115,287.488,1.644029,1.3552
"11575",-1102500,2500500,0,24.92146,11.03918,1709.511,100,0.02017847,334.2307,0.4612567,0.6544
"11576",1555500,2971500,0,26.24834,11.51789,1225.965,86,1.563821,61.96615,0.6247522,0
"11577",356500,2943500,0,25.65496,11.10213,2190.402,100,0,280.8403,1.028076,1.136
"11578",-971500,2047500,0,13.61787,11.03829,2896.038,91,6.468245,188.7211,7.421336,0.488
"11579",-102500,2908500,0,25.71025,9.313039,2558.233,100,0.1136107,100.4915,0.3933159,0.2624
"11580",-2239500,3480500,0,24.20518,7.633518,2216.868,66,21.93339,46.66028,1.398051,0.9168
"11581",-1984500,4284500,0,24.92209,6.812305,6112.438,99,2.240088,48.69415,6.728562,0.08
"11582",88500,3996500,0,23.60166,8.988369,2310.171,99,0.03125336,78.25863,1.864674,0.0736
"11583",-61500,949500,0,23.45,20.00144,927.5285,40,0.4418125,45,0.01012856,0.5328
"11584",-843500,3345500,0,25.95,7.9,2847.901,100,0.131787,21.03751,0.1995087,1.032
"11585",-711500,1617500,0,9.443042,18.67275,898.7148,0,1171.957,290.1576,0.6026908,0.024
"11586",-607500,722500,0,9.745337,19.23468,793.4127,0,1.641005,241.7123,8.461593,0
"11587",-522500,1301500,0,13.9072,20.24362,446.6022,0,8.47886,320.77,21.32349,1.1776
"11588",1309500,1799500,0,22.03757,15.24996,1524.789,0,1.568047,160.821,2.091935,0.624
"11589",-309500,1674500,0,23.65,13.2,1606.766,16,126.1318,40.6013,0.13206,0
"11590",-1775500,2338500,0,5.985034,12.32482,897.5734,0,3.76963,269.0282,17.9677,0.1792
"11591",-938500,3229500,0,25.39307,8.6,2918.043,100,0.04234837,15.25512,0.081659,0.552
"11592",-1625500,3526500,0,24.83105,8.455748,3399.405,100,1.58098,176.4237,0.2296291,0.264
"11593",-8500,1596500,0,23.15261,14.89147,1422.143,75,2.160803,62.52557,2.218801,0
"11594",533500,1593500,0,25.17441,15.5,1628.056,32,0.8569225,136.8476,1.256393,0
"11595",663500,1943500,0,24.50481,14.40843,1792.059,6,0.2434495,8.615648,0.2390412,0.216
"11596",-544500,1209500,0,12.12107,22.29293,681.8432,0,8.066803,312.0096,1.358823,0.2992
"11597",453500,2975500,0,25.46648,11.40059,2529.244,100,0.007192531,68.96249,0.5985066,0.9184
"11598",1947500,3190500,0,27.41746,12.70506,1505.142,43,6.704431,130.9144,0.5686257,0
"11599",-196500,2557500,0,25.61487,11.8,2186.743,100,0,93.17983,0.2582268,0
"11600",-1708500,3180500,0,25.15,8.1,2701.983,100,0.490793,105.2551,0.081659,0.432
"11601",2461500,2405500,0,25.96267,13.54516,746.6147,4,18.82664,94.3987,0.5602663,0.016
"11602",1185500,1115500,0,20.80261,14.93347,1599.79,0,4811.705,301.7014,0.5724013,0.0576
"11603",-1587500,2790500,0,24.17681,9.11013,2173.475,100,0.2016372,97.51215,1.314533,0
"11604",-1809500,3649500,0,25.19246,8.928802,4166.017,42,9.65798,40.23636,0.1219638,1.048
"11605",-1220500,1969500,0,3.690161,16.97058,1227.468,0,10.89706,284.187,3.298463,0.096
"11606",-847500,550500,0,0.4515381,27.98986,251.0573,0,12.21935,285.6859,2.171152,0.552
"11607",436500,2938500,0,24.92231,11.8875,2377.1,100,0.8459411,162.9671,1.295641,0
"11608",1189500,1856500,0,23.26904,14.71009,1299.843,24,2.319724,26.12769,4.188485,0.0256
