"","X","coordinateUncertaintyInMeters","occurrenceStatus","decimalLongitude","decimalLatitude"
"1127",1127,NA,"PRESENT",-485083.138298773,976448.538367212
"1128",1128,NA,"PRESENT",-487271.654248372,1006714.3640723
"1129",1129,NA,"PRESENT",-1230250.13004945,2059287.18641375
"1130",1130,NA,"PRESENT",-2104482.50288748,3473917.45658054
"1131",1131,NA,"PRESENT",-2076051.01084895,3473206.17533945
"1132",1132,NA,"PRESENT",-2076976.32434222,3473266.02288501
"1133",1133,NA,"PRESENT",-1224663.56671882,1858816.50272248
"1134",1134,NA,"PRESENT",-1610764.61250757,4064047.69406355
"1135",1135,NA,"PRESENT",-1345611.14908516,2104550.01944259
"1136",1136,31451,"PRESENT",-2064073.25332955,3473592.96722826
"1137",1137,31451,"PRESENT",-2078197.33281961,3486511.14246566
"1138",1138,31451,"PRESENT",-2057005.04981839,3489199.7227961
"1139",1139,31451,"PRESENT",-2056203.19313483,3487361.09734794
"1140",1140,31451,"PRESENT",-2063825.98589585,3490731.02342763
"1141",1141,31394,"PRESENT",-1828316.35595017,4068745.53912837
"1142",1142,31394,"PRESENT",-1819153.74968389,4086649.87144163
"1143",1143,31451,"PRESENT",-2086461.25747634,3494368.36866442
"1144",1144,24,"PRESENT",-2086465.4903467,3477303.22998279
"1145",1145,16,"PRESENT",-2085534.39062595,3478130.97521907
"1146",1146,32,"PRESENT",-2086372.63617007,3477838.39266053
"1147",1147,4,"PRESENT",-1224632.23967779,1858826.60091461
"1148",1148,NA,"PRESENT",-1752385.4781648,2235015.86229326
"1149",1149,NA,"PRESENT",-427235.749869186,783106.701444821
"1150",1150,NA,"PRESENT",-548020.718037901,607279.536327634
"1151",1151,NA,"PRESENT",-549435.399128823,609925.977524831
"1152",1152,NA,"PRESENT",-1753709.82163876,2252202.96224689
"1153",1153,NA,"PRESENT",-875191.485049466,1246680.53684563
"1154",1154,NA,"PRESENT",-2075299.84477894,3470000.45731446
"1155",1155,NA,"PRESENT",-872905.59963139,1952969.17300627
"1156",1156,NA,"PRESENT",-917267.096071335,1928721.98272873
"1157",1157,NA,"PRESENT",-593711.028513411,359092.429482416
"1158",1158,NA,"PRESENT",-912973.884443807,1510840.86059913
"1159",1159,NA,"PRESENT",-1469692.06252688,4266566.29922282
"1160",1160,NA,"PRESENT",-2061226.34943298,3617638.6740203
"1161",1161,NA,"PRESENT",-2081174.99575636,3496686.90749536
"1162",1162,NA,"PRESENT",-1002927.61602132,294687.114034651
"1163",1163,NA,"PRESENT",-2061242.06214744,3617618.8142606
"1164",1164,NA,"PRESENT",-543338.044945257,817460.75508003
"1165",1165,NA,"PRESENT",-1314199.02851769,2106572.83869161
"1166",1166,NA,"PRESENT",-1310283.97328756,2100256.94490301
"1167",1167,NA,"PRESENT",-1216972.91484049,2044292.68997711
"1168",1168,NA,"PRESENT",-1810270.10351759,4072827.46342004
"1169",1169,NA,"PRESENT",-2057332.78677229,3531404.23040177
"1170",1170,NA,"PRESENT",-502471.748242858,411545.39022827
"1171",1171,NA,"PRESENT",-523354.203512116,884786.006130118
"1172",1172,NA,"PRESENT",-2061249.61764681,3617615.11359461
"1173",1173,NA,"PRESENT",-907547.069933563,1510682.52116136
"1174",1174,NA,"PRESENT",-2068855.45712861,3491837.45769302
"1175",1175,NA,"PRESENT",-1309200.67904206,2096385.02505108
"1176",1176,NA,"PRESENT",-2118568.29770102,3511304.95780669
"1177",1177,NA,"PRESENT",-2067659.88609014,3512338.35585915
"1178",1178,NA,"PRESENT",-1692430.65743984,4703226.65369513
"1179",1179,NA,"PRESENT",-1696060.81507682,4703528.55962316
"1180",1180,NA,"PRESENT",-1821711.1060329,2422825.10752964
"1181",1181,NA,"PRESENT",-1824373.08465066,2426904.22705654
"1182",1182,NA,"PRESENT",-432243.036835711,890644.754512665
"1183",1183,NA,"PRESENT",-2097375.19212463,3454358.06236028
"1184",1184,NA,"PRESENT",-1819533.97349294,4051154.47469216
"1185",1185,NA,"PRESENT",-573993.581312539,518141.563370533
"1186",1186,NA,"PRESENT",-530293.009441389,754772.530052718
"1187",1187,NA,"PRESENT",-745485.426136898,480199.250394723
"1188",1188,NA,"PRESENT",-778495.476030165,366292.658008521
"1189",1189,NA,"PRESENT",-752187.265502596,288806.953771233
"1190",1190,NA,"PRESENT",-673153.073004397,393402.101762091
"1191",1191,NA,"PRESENT",-658339.496546789,409880.949905838
"1192",1192,NA,"PRESENT",-652727.00993368,519540.855863664
"1193",1193,NA,"PRESENT",-1242911.49432106,1855501.19302794
"1194",1194,31020,"PRESENT",-1238964.64040624,2112018.52208683
"1195",1195,25,"PRESENT",-2086883.9633438,3477146.56815732
"1196",1196,29775,"PRESENT",-527664.92656867,571062.363898241
"1197",1197,30870,"PRESENT",-1225813.2772453,1838095.35500208
"1198",1198,31451,"PRESENT",-2063350.46559363,3484642.42180895
"1199",1199,30748,"PRESENT",-638322.581508038,1692705.22520139
"1200",1200,31398,"PRESENT",-1814958.33266538,4066203.62744982
"1201",1201,NA,"PRESENT",-1450934.84787075,1987402.98379346
"1202",1202,NA,"PRESENT",-1283591.53649852,2124751.6332073
"1203",1203,NA,"PRESENT",-822053.096889266,385911.14571365
"1204",1204,NA,"PRESENT",-650681.577262024,485668.572126705
"1205",1205,NA,"PRESENT",-1468372.08073667,4274989.87350104
"1206",1206,NA,"PRESENT",-638882.968399112,1698743.77337747
"1207",1207,NA,"PRESENT",-545696.787255313,610111.980173655
"1208",1208,NA,"PRESENT",-1812286.21939663,4055359.4745294
"1209",1209,NA,"PRESENT",-1808660.26227,4055226.04482937
"1210",1210,NA,"PRESENT",-490774.234110767,836762.904885754
"1211",1211,NA,"PRESENT",-468634.859359951,1497041.82875493
"1212",1212,NA,"PRESENT",-472718.1071164,961493.472046048
"1213",1213,NA,"PRESENT",-2136977.85467494,3386151.75737491
"1214",1214,NA,"PRESENT",-1816381.68317361,4079508.85861428
"1215",1215,NA,"PRESENT",-1220870.34312222,1859322.44281376
"1216",1216,NA,"PRESENT",-473388.892750306,961501.817051911
"1217",1217,NA,"PRESENT",-545707.23452715,818486.94449587
"1218",1218,NA,"PRESENT",-1738053.44155557,2233223.45313831
"1219",1219,NA,"PRESENT",-1738890.25222708,2234125.48550637
"1220",1220,NA,"PRESENT",-1818361.19463235,4050336.88615433
"1221",1221,NA,"PRESENT",-1827827.41916438,4059328.58431998
"1222",1222,NA,"PRESENT",-1166317.20339808,1771410.11842115
"1223",1223,NA,"PRESENT",-894909.21682523,1278866.58587522
"1224",1224,NA,"PRESENT",-1749825.55129787,2260292.50744244
"1225",1225,NA,"PRESENT",-514402.486572537,1532142.47166681
"1226",1226,NA,"PRESENT",-1616038.42460034,4059359.84741818
"1227",1227,NA,"PRESENT",-1823413.67000362,4082080.69204125
"1228",1228,NA,"PRESENT",-2068660.73071099,3489599.99492651
"1229",1229,NA,"PRESENT",-2077726.19775486,3474141.41195717
"1230",1230,NA,"PRESENT",-1302185.06654358,2089525.30132797
"1231",1231,NA,"PRESENT",-479594.772601158,1465036.00354454
"1232",1232,NA,"PRESENT",-541139.79800214,576827.912700562
"1233",1233,NA,"PRESENT",-589348.289660893,789703.025917911
"1234",1234,NA,"PRESENT",-547512.706495141,606059.922633845
"1235",1235,NA,"PRESENT",-1519991.70451612,4315229.46399729
"1236",1236,NA,"PRESENT",-595967.831724653,569855.858593861
"1237",1237,NA,"PRESENT",-642993.474983623,555582.160250388
"1238",1238,NA,"PRESENT",-2092664.2842243,3428091.4711218
"1239",1239,NA,"PRESENT",-559457.455775237,783324.447253016
"1240",1240,NA,"PRESENT",-2162449.11544109,3147515.76304607
"1241",1241,NA,"PRESENT",-1524828.7982714,1919490.61233041
"1242",1242,NA,"PRESENT",-1458421.73240741,1955586.86029784
"1243",1243,NA,"PRESENT",-1448523.56855099,1980890.49074399
"1244",1244,NA,"PRESENT",-1443366.22493043,1986102.166518
"1245",1245,NA,"PRESENT",-1283517.89153215,2125100.1535943
"1246",1246,NA,"PRESENT",-2085345.52496862,3475869.94444623
"1247",1247,NA,"PRESENT",-2074799.51028576,3469983.73831264
"1248",1248,NA,"PRESENT",-1226985.10856986,2048019.3231041
"1249",1249,NA,"PRESENT",-1343442.52685135,2103597.82425215
"1250",1250,NA,"PRESENT",-443026.778708402,1245546.24581849
"1251",1251,NA,"PRESENT",-1315598.93750334,2108729.62181387
"1252",1252,NA,"PRESENT",-1567736.47133311,4633280.53580644
"1253",1253,NA,"PRESENT",-1932184.43764227,3913862.40332258
"1254",1254,NA,"PRESENT",-537532.948580431,589520.70407371
"1255",1255,NA,"PRESENT",-538296.408200894,591075.990363354
