"","x","y","Presence"
"852",527500,727500,1
"853",528500,727500,1
"854",531500,727500,1
"855",524500,726500,1
"856",527500,726500,1
"857",528500,726500,1
"858",529500,726500,1
"859",531500,726500,1
"860",534500,726500,1
"861",541500,726500,1
"862",543500,726500,1
"863",525500,725500,1
"864",526500,725500,1
"865",527500,725500,1
"866",528500,725500,1
"867",531500,725500,1
"868",534500,725500,1
"869",535500,725500,1
"870",536500,725500,1
"871",543500,725500,1
"872",555500,725500,1
"873",518500,724500,1
"874",528500,724500,1
"875",531500,724500,1
"876",539500,724500,1
"877",540500,724500,1
"878",541500,724500,1
"879",526500,723500,1
"880",528500,723500,1
"881",529500,723500,1
"882",530500,723500,1
"883",531500,723500,1
"884",532500,723500,1
"885",533500,723500,1
"886",538500,723500,1
"887",518500,722500,1
"888",529500,722500,1
"889",532500,722500,1
"890",516500,721500,1
"891",519500,721500,1
"892",528500,721500,1
"893",529500,721500,1
"894",530500,721500,1
"895",532500,721500,1
"896",535500,720500,1
"897",538500,720500,1
"898",528500,719500,1
"899",516500,718500,1
"900",518500,718500,1
"901",528500,718500,1
"902",528500,717500,1
"903",529500,717500,1
"904",530500,717500,1
"905",534500,717500,1
"906",13500,716500,1
"907",541500,715500,1
"908",549500,715500,1
"909",537500,714500,1
"910",549500,714500,1
"911",519500,713500,1
"912",541500,713500,1
"913",545500,713500,1
"914",519500,712500,1
"915",535500,712500,1
"916",545500,712500,1
"917",566500,712500,1
"918",567500,712500,1
"919",516500,711500,1
"920",535500,711500,1
"921",546500,711500,1
"922",562500,711500,1
"923",527500,710500,1
"924",531500,710500,1
"925",542500,710500,1
"926",545500,710500,1
"927",546500,710500,1
"928",572500,710500,1
"929",535500,709500,1
"930",539500,709500,1
"931",558500,708500,1
"932",516500,707500,1
"933",522500,707500,1
"934",541500,707500,1
"935",517500,704500,1
"936",537500,704500,1
"937",554500,704500,1
"938",555500,704500,1
"939",585500,704500,1
"940",574500,703500,1
"941",544500,702500,1
"942",530500,701500,1
"943",531500,701500,1
"944",550500,700500,1
"945",546500,699500,1
"946",-155500,698500,1
"947",525500,698500,1
"948",573500,698500,1
