"","decimalLongitude","decimalLatitude","coordinateUncertaintyInMeters","occurrenceStatus"
"486",-73.7186,4.9148,NA,"PRESENT"
"487",-73.7323,4.9184,NA,"PRESENT"
"488",-72.565417,-13.199161,NA,"PRESENT"
"489",-72.570949,-13.278353,NA,"PRESENT"
"490",-72.564382,-13.201193,NA,"PRESENT"
"491",-72.570912,-13.281063,NA,"PRESENT"
"492",-72.588015,-13.188271,NA,"PRESENT"
"493",-72.563153,-13.40084,NA,"PRESENT"
"494",-72.564581,-13.199822,NA,"PRESENT"
"495",-73.694178,4.597072,NA,"PRESENT"
"496",-76.24973,4.79051,NA,"PRESENT"
"497",-73.7285,4.9154,NA,"PRESENT"
"498",-73.8751,4.716,NA,"PRESENT"
"499",-73.72839,4.91536,NA,"PRESENT"
"500",-73.73983,4.90114,NA,"PRESENT"
"501",-73.87594,4.71592,NA,"PRESENT"
"502",-73.72786,4.91442,NA,"PRESENT"
"503",-73.7305,4.91614,NA,"PRESENT"
"504",-73.72761,4.91361,NA,"PRESENT"
"505",-78.086516,0.263919,68218,"PRESENT"
"506",-76.085694,1.618,NA,"PRESENT"
"507",-76.108389,1.592111,NA,"PRESENT"
"508",-73.7281,4.9089,NA,"PRESENT"
"509",-73.72808,4.90889,NA,"PRESENT"
"510",-75.441843,-10.650739,NA,"PRESENT"
"511",-75.425806,-10.669639,NA,"PRESENT"
"512",-75.438938,-10.639361,NA,"PRESENT"
"513",-75.440716,-10.59465,NA,"PRESENT"
"514",-75.426858,-10.635467,NA,"PRESENT"
"515",-75.655529,-10.371254,NA,"PRESENT"
"516",-75.441711,-10.651751,NA,"PRESENT"
"517",-77.887729,-0.510098,31451,"PRESENT"
"518",-72.435234,-13.146526,31045,"PRESENT"
"519",-78.342762,-0.209719,31451,"PRESENT"
"520",-73.8759,4.7159,NA,"PRESENT"
"521",-73.87514,4.71603,NA,"PRESENT"
"522",-76.22536,1.715,NA,"PRESENT"
"523",-76.20906,1.71578,NA,"PRESENT"
"524",-78.339257,-0.320916,31451,"PRESENT"
"525",-78.275531,-0.340785,31451,"PRESENT"
"526",-78.364508,-0.31569,31451,"PRESENT"
"527",-75.483278,-10.505458,NA,"PRESENT"
"528",-75.466338,-10.538921,NA,"PRESENT"
"529",-78.727219,0.122838,31451,"PRESENT"
"530",-73.7279,4.9143,NA,"PRESENT"
"531",-73.7399,4.8995,NA,"PRESENT"
"532",-73.7178,4.8772,NA,"PRESENT"
"533",-73.73992,4.89947,NA,"PRESENT"
"534",-73.71783,4.87722,NA,"PRESENT"
"535",-73.72789,4.91431,NA,"PRESENT"
"536",-73.7285,4.91544,NA,"PRESENT"
"537",-76.82401,3.63163,NA,"PRESENT"
"538",-76.8184,3.63368,NA,"PRESENT"
"539",-76.183999,6.453082,31350,"PRESENT"
"540",-75.282861,-10.634683,NA,"PRESENT"
"541",-76.116678,1.618583,NA,"PRESENT"
"542",-76.165336,6.488823,31350,"PRESENT"
"543",-73.7232,4.9011,NA,"PRESENT"
"544",-73.73986,4.8995,NA,"PRESENT"
"545",-76.34972,1.79711,NA,"PRESENT"
"546",-76.34889,1.80175,NA,"PRESENT"
"547",-76.33961,1.783,NA,"PRESENT"
